List	Display	POS	Source Entry ID	Hebrew source	A2 definition or synonyms	English example	Hebrew example	Record sense (English)	Record sense (Hebrew)	Repeated entry	Same-entry record IDs	Sense scope
B	acquire	Verb	B1-020	רָכַשׁ; הִשִּׂיג	get or learn something	Students acquire new skills through practice.	תלמידים רוכשים מיומנויות חדשות באמצעות תרגול.	get or learn something	רָכַשׁ; הִשִּׂיג	FALSE		single-entry
B	age	Noun	B1-035	גִּיל; תְּקוּפָה	the number of years someone has lived	Children can join the course at the age of twelve.	ילדים יכולים להצטרף לקורס בגיל שתים עשרה.	the number of years someone has lived	גִּיל; תְּקוּפָה	FALSE		single-entry
B	agriculture	Noun	B2-014	חַקְלָאוּת	the work of growing crops and raising animals	Agriculture is important to the local economy.	החקלאות חשובה לכלכלה המקומית.	the work of growing crops and raising animals	חַקְלָאוּת	FALSE		single-entry
B	all of a sudden	Phrase	B2-017	לפתע; פתאום	very suddenly and without warning	All of a sudden, the lights went out.	לפתע כבו האורות.	very suddenly and without warning	לפתע; פתאום	FALSE		single-entry
B	altogether	Adverb	B3-002	בסך הכול; לגמרי	completely; in total	There were twenty students altogether.	בסך הכול היו עשרים תלמידים.	completely; in total	בסך הכול; לגמרי	FALSE		single-entry
B	anxious	Adjective	B1-024	חָרֵד; לָהוּט	worried or nervous	She felt anxious before the interview.	היא חשה חרדה לפני הריאיון.	worried or nervous	חָרֵד; לָהוּט	FALSE		single-entry
B	apparent	Adjective	B3-049	גָּלוּי; גָּלוּי לָעַיִן; נִרְאֶה	easy to notice or understand	It became apparent that we needed more time.	התברר שאנחנו זקוקים לזמן נוסף.	easy to notice or understand	גָּלוּי; גָּלוּי לָעַיִן; נִרְאֶה	FALSE		single-entry
B	appropriate	Adjective	B1-074	הוֹלֵם; מַתְאִים	right or suitable for a situation	Wear appropriate shoes for the long walk.	נעלו נעליים מתאימות להליכה הארוכה.	right or suitable for a situation	הוֹלֵם; מַתְאִים	FALSE		single-entry
B	atmosphere	Noun	B2-010	אַטְמוֹסְפֶרָה; שכבת גזים העוטפת כוכבים; אֲוִירָה	the air around a planet; the feeling in a place	The café has a warm and friendly atmosphere.	בבית הקפה יש אווירה חמה וידידותית.	the air around a planet; the feeling in a place	אַטְמוֹסְפֶרָה; שכבת גזים העוטפת כוכבים; אֲוִירָה	FALSE		single-entry
B	automatically	Adverb	B2-032	אוֹטוֹמָטִית; באופן אוטומטי	by itself, without a person controlling it	The lights turn off automatically.	האורות כבים באופן אוטומטי.	by itself, without a person controlling it	אוֹטוֹמָטִית; באופן אוטומטי	FALSE		single-entry
B	bad	Adjective	B2-057	רַע; שְׁלִילִי; גָּרוּעַ	not good; unpleasant or harmful	Too little sleep is bad for your health.	שינה מועטה מדי מזיקה לבריאותכם.	not good; unpleasant or harmful	רַע; שְׁלִילִי; גָּרוּעַ	FALSE		single-entry
B	be in charge	Phrase	B3-066	להיות אחראי; להיות ממונה	have control or responsibility for something	She is in charge of the school library.	היא ממונה על ספריית בית הספר.	have control or responsibility for something	להיות אחראי; להיות ממונה	FALSE		single-entry
B	be situated in/on/by	Phrase	B1-065	להימצא; להיות ממוקם	be in a particular place	The hotel is situated by the sea.	המלון ממוקם ליד הים.	be in a particular place	להימצא; להיות ממוקם	FALSE		single-entry
B	behind	Adverb	B3-026	מאחור; בפיגור	at the back or making less progress than others	After missing a week, he fell behind.	לאחר שהחמיץ שבוע, הוא נשאר מאחור.	at the back or making less progress than others	מאחור; בפיגור	FALSE		single-entry
B	believe in	Phrase	B3-064	להאמין ב־	think that someone or something is good, true or real	I believe in giving everyone a fair chance.	אני מאמין במתן הזדמנות הוגנת לכולם.	think that someone or something is good, true or real	להאמין ב־	FALSE		single-entry
B	blame	Noun	B3-078	אַשְׁמָה; אָשָׁם	responsibility for a mistake or harmful event	The driver accepted the blame for the accident.	הנהג קיבל עליו את האשמה בתאונה.	responsibility for a mistake or harmful event	אַשְׁמָה; אָשָׁם	FALSE		single-entry
B	block	Verb	B1-019	חָסַם; עָצַר	stop movement or prevent progress	A fallen tree blocked the road.	עץ שנפל חסם את הכביש.	stop movement or prevent progress	חָסַם; עָצַר	FALSE		single-entry
B	brilliant	Adjective	B2-018	מבריק; מצוין; חכם מאוד	very clever, bright or excellent	She had a brilliant idea for the project.	היה לה רעיון מבריק לפרויקט.	very clever, bright or excellent	מבריק; מצוין; חכם מאוד	TRUE	C3-025	record-specific
B	bring up	Phrase	B3-006	להעלות נושא; לגדל	mention a subject or raise a child	She brought up an important question during the meeting.	היא העלתה שאלה חשובה במהלך הפגישה.	mention a subject or raise a child	להעלות נושא; לגדל	FALSE		single-entry
B	calculate	Verb	B3-067	חִשֵּׁב	find an amount by using numbers	We calculated the total cost of the trip.	חישבנו את העלות הכוללת של הטיול.	find an amount by using numbers	חִשֵּׁב	FALSE		single-entry
B	clothing	Noun	B2-027	הַלְבָּשָׁה; בִּגּוּד	things people wear	Bring warm clothing for the evening.	הביאו בגדים חמים לערב.	things people wear	הַלְבָּשָׁה; בִּגּוּד	FALSE		single-entry
B	competitive	Adjective	B1-069	תַּחֲרוּתִי	wanting to win; involving people trying to win	The two teams played a competitive match.	שתי הקבוצות שיחקו זו מול זו במשחק תחרותי.	wanting to win; involving people trying to win	תַּחֲרוּתִי	FALSE		single-entry
B	contemporary	Adjective	B2-063	בֶּן-זְמַנֵּנוּ; עַכְשָׁוִי; מוֹדֶרְנִי	belonging to the present time	The museum displays contemporary art.	המוזיאון מציג אמנות עכשווית.	belonging to the present time	בֶּן-זְמַנֵּנוּ; עַכְשָׁוִי; מוֹדֶרְנִי	FALSE		single-entry
B	contest	Noun	B2-075	תַּחֲרוּת	an event in which people try to win	Our class entered a writing contest.	הכיתה שלנו השתתפה בתחרות כתיבה.	an event in which people try to win	תַּחֲרוּת	FALSE		single-entry
B	continent	Noun	B3-057	יַבֶּשֶׁת; קוֹנְטִינֶנְט	one of the world’s main large land areas	Africa is the second-largest continent.	אפריקה היא היבשת השנייה בגודלה.	one of the world’s main large land areas	יַבֶּשֶׁת; קוֹנְטִינֶנְט	FALSE		single-entry
B	copy	Noun	B1-029	הֶעְתֵּק; קוֹפִּי	something made to be the same as another	Please keep a copy of the form.	נא לשמור עותק של הטופס.	something made to be the same as another	הֶעְתֵּק; קוֹפִּי	FALSE		single-entry
B	criterion	Noun	B2-040	קְרִיטֶרְיוֹן; אַמַּת מִדָּה; אֶבֶן בֹּחַן	a standard used to make a decision	Price was an important criterion in our choice.	המחיר היה שיקול חשוב בבחירה שלנו.	a standard used to make a decision	קְרִיטֶרְיוֹן; אַמַּת מִדָּה; אֶבֶן בֹּחַן	FALSE		single-entry
B	cut down	Phrase	B3-008	להפחית; לכרות	reduce an amount or make a tree fall	We should cut down the amount of plastic we use.	עלינו לצמצם את כמות הפלסטיק שאנו משתמשים בו.	reduce an amount or make a tree fall	להפחית; לכרות	FALSE		single-entry
B	decade	Noun	B3-004	עָשׂוֹר	a period of ten years	The city changed greatly during the last decade.	העיר השתנתה מאוד במהלך העשור האחרון.	a period of ten years	עָשׂוֹר	FALSE		single-entry
B	declare	Verb	B1-057	הִצְהִיר; הִכְרִיז	announce something clearly or officially	The judge declared the winner.	השופט הכריז על הזוכה.	announce something clearly or officially	הִצְהִיר; הִכְרִיז	FALSE		single-entry
B	degree	Noun	B3-012	מידה; דרגה; תואר	an amount or level; a university qualification	The plan succeeded to a surprising degree.	התוכנית הצליחה במידה מפתיעה.	an amount or level; a university qualification	מידה; דרגה; תואר	FALSE		single-entry
B	deliver	Verb	B1-071	שָׁלַח; מָסַר; הֶעֱבִיר	take something to a person or place; give a speech	The company will deliver the package tomorrow.	החברה תמסור את החבילה מחר.	take something to a person or place; give a speech	שָׁלַח; מָסַר; הֶעֱבִיר	FALSE		single-entry
B	demanding	Adjective	B1-064	תּוֹבְעָנִי	needing a lot of time, effort or skill	Teaching can be a demanding job.	הוראה יכולה להיות עבודה תובענית.	needing a lot of time, effort or skill	תּוֹבְעָנִי	FALSE		single-entry
B	detect	Verb	B2-073	גִּלָּה; הִבְחִין	notice or discover something difficult to see	The test can detect the disease early.	הבדיקה יכולה לזהות את המחלה בשלב מוקדם.	notice or discover something difficult to see	גִּלָּה; הִבְחִין	FALSE		single-entry
B	determine	Verb	B3-033	קָבַע; הֶחְלִיט	discover or decide something	The results will determine who reaches the final.	התוצאות יקבעו מי יגיע לגמר.	discover or decide something	קָבַע; הֶחְלִיט	FALSE		single-entry
B	differ	Verb	B2-022	נִבְדַּל; הִתְוַכֵּחַ	be unlike or have another opinion	The two plans differ in cost.	שתי התוכניות שונות בעלותן.	be unlike or have another opinion	נִבְדַּל; הִתְוַכֵּחַ	FALSE		single-entry
B	disappointed	Adjective	B2-041	מְאֻכְזָב	sad because something was not as good as hoped	We were disappointed by the result.	התאכזבנו מהתוצאה.	sad because something was not as good as hoped	מְאֻכְזָב	FALSE		single-entry
B	divide	Verb	B3-010	חִלֵּק; פִּצֵּל; סִוֵּג	separate into parts or groups	Divide the class into four teams.	חלקו את הכיתה לארבע קבוצות.	separate into parts or groups	חִלֵּק; פִּצֵּל; סִוֵּג	FALSE		single-entry
B	domestic	Adjective	B1-060	בֵּיתִי; פְּנִימִי; מְקוֹמִי	connected with one country or with the home	Domestic flights are often shorter than international ones.	טיסות פנים הן לעיתים קרובות קצרות יותר מטיסות בין־לאומיות.	connected with one country or with the home	בֵּיתִי; פְּנִימִי; מְקוֹמִי	FALSE		single-entry
B	done	Adjective	B2-061	גָּמוּר; עָשׂוּי	finished or completed	The work is done, so we can go home.	העבודה הסתיימה, ולכן אנחנו יכולים ללכת הביתה.	finished or completed	גָּמוּר; עָשׂוּי	FALSE		single-entry
B	double	Adverb	B2-029	כָּפוּל; כִּפְלַיִם	twice as much or as many	This box weighs double the other one.	הארגז הזה שוקל פי שניים מהארגז האחר.	twice as much or as many	כָּפוּל; כִּפְלַיִם	TRUE	B3-076	record-specific
B	double	Verb	B3-076	הִכְפִּיל	make or become twice as much	The school hopes to double the number of books.	בית הספר מקווה להכפיל את מספר הספרים.	make or become twice as much	הִכְפִּיל	TRUE	B2-029	record-specific
B	economical	Adjective	B2-026	חַסְכָנִי; אֶקוֹנוֹמִי	using little money, fuel or time	This small car is economical to run.	המכונית הקטנה הזאת חסכונית לתפעול.	using little money, fuel or time	חַסְכָנִי; אֶקוֹנוֹמִי	FALSE		single-entry
B	editor	Noun	B3-039	עוֹרֵךְ	a person who prepares text, film or sound for publication	The editor corrected the article before publication.	העורך תיקן את המאמר לפני פרסומו.	a person who prepares text, film or sound for publication	עוֹרֵךְ	FALSE		single-entry
B	either way	Phrase	B2-068	בכל מקרה; כך או כך	used when the result is the same in both cases	We can walk or take the bus; either way, we will arrive.	אנחנו יכולים ללכת ברגל או לנסוע באוטובוס; כך או כך, נגיע.	used when the result is the same in both cases	בכל מקרה; כך או כך	FALSE		single-entry
B	element	Noun	B1-063	יְסוֹד; אֶלֶמֶנְט; רְכִיב	a basic or important part	Trust is an essential element of friendship.	אמון הוא מרכיב חיוני בידידות.	a basic or important part	יְסוֹד; אֶלֶמֶנְט; רְכִיב	FALSE		single-entry
B	emerge	Verb	B2-053	צָף; עָלָה; צָץ	come out or become known	New facts emerged during the investigation.	עובדות חדשות התגלו במהלך החקירה.	come out or become known	צָף; עָלָה; צָץ	FALSE		single-entry
B	emotion	Noun	B2-042	רֶגֶשׁ; רִגּוּשׁ; אֶמוֹצְיָה	a strong feeling such as joy, fear or anger	Music can express deep emotion.	מוזיקה יכולה לבטא רגש עמוק.	a strong feeling such as joy, fear or anger	רֶגֶשׁ; רִגּוּשׁ; אֶמוֹצְיָה	FALSE		single-entry
B	exception	Noun	B1-009	יוֹצֵא מִן הַכְּלָל; חָרִיג	a person or thing not included in a general rule	Everyone arrived on time, with one exception.	כולם הגיעו בזמן, למעט אדם אחד.	a person or thing not included in a general rule	יוֹצֵא מִן הַכְּלָל; חָרִיג	FALSE		single-entry
B	exchange	Verb	B1-078	הֵמִיר; הֶחְלִיף	give one thing and receive another	The students exchanged ideas after the talk.	התלמידים החליפו רעיונות לאחר ההרצאה.	give one thing and receive another	הֵמִיר; הֶחְלִיף	FALSE		single-entry
B	expected	Adjective	B3-018	צפוי	believed or planned to happen	The expected rain began in the afternoon.	הגשם הצפוי החל לרדת אחר הצהריים.	believed or planned to happen	צפוי	FALSE		single-entry
B	expedition	Noun	B1-014	משלחת; מסע מאורגן	an organized journey for a special purpose	The team went on an expedition to study the forest.	הצוות יצא למשלחת לחקר היער.	an organized journey for a special purpose	משלחת; מסע מאורגן	FALSE		single-entry
B	expense	Noun	B1-027	הוֹצָאָה; מְחִיר	money needed or spent	The hotel was our largest expense.	המלון היה ההוצאה הגדולה ביותר שלנו.	money needed or spent	הוֹצָאָה; מְחִיר	FALSE		single-entry
B	export	Noun	B2-025	יְצוּא; אֶקְסְפּוֹרְט	goods sent to another country for sale	Fruit is an important export for the region.	פירות הם מוצר יצוא חשוב לאזור.	goods sent to another country for sale	יְצוּא; אֶקְסְפּוֹרְט	TRUE	B3-041	record-specific
B	export	Verb	B3-041	יִצֵּא	send goods to another country for sale	The company exports fruit to Europe.	החברה מייצאת פירות לאירופה.	send goods to another country for sale	יִצֵּא	TRUE	B2-025	record-specific
B	expression	Noun	B2-065	הַבָּעָה; מַבָּע; בִּטּוּי	a phrase; a way of showing a feeling or idea	Her expression showed that she was surprised.	הבעת פניה הראתה שהיא הופתעה.	a phrase; a way of showing a feeling or idea	הַבָּעָה; מַבָּע; בִּטּוּי	FALSE		single-entry
B	extend	Verb	B2-048	הֶאֱרִיךְ; הִתְרַחֵב; הִשְׂתָּרֵעַ	make longer or larger; reach out	The school extended the deadline by two days.	בית הספר האריך את המועד האחרון ביומיים.	make longer or larger; reach out	הֶאֱרִיךְ; הִתְרַחֵב; הִשְׂתָּרֵעַ	FALSE		single-entry
B	extreme	Adjective	B3-077	קִיצוֹנִי	very great, serious or far from normal	Avoid exercise in extreme heat.	הימנעו מפעילות גופנית בחום קיצוני.	very great, serious or far from normal	קִיצוֹנִי	FALSE		single-entry
B	farther/further	Adjective	B3-040	רחוק יותר; נוסף	more distant or additional	Please contact us if you need further information.	נא ליצור איתנו קשר אם אתם זקוקים למידע נוסף.	more distant or additional	רחוק יותר; נוסף	TRUE	B3-007	record-specific
B	farther/further	Adverb	B3-007	רחוק יותר; הלאה	to a greater distance or degree	We walked farther than we had planned.	הלכנו רחוק יותר מכפי שתכננו.	to a greater distance or degree	רחוק יותר; הלאה	TRUE	B3-040	record-specific
B	fed up	Phrase	B3-009	נמאס; עייף ומוטרד	tired and annoyed because something continued too long	He was fed up with waiting.	נמאס לו לחכות.	tired and annoyed because something continued too long	נמאס; עייף ומוטרד	FALSE		single-entry
B	fetch	Verb	B1-045	להביא; ללכת להביא	go to get someone or something and bring them back	Could you fetch a glass of water for me?	האם תוכל להביא לי כוס מים?	go to get someone or something and bring them back	להביא; ללכת להביא	FALSE		single-entry
B	final	Noun	B1-048	גמר; שלב אחרון	the last game, test or stage in a series	Our team reached the final.	הקבוצה שלנו הגיעה לגמר.	the last game, test or stage in a series	גמר; שלב אחרון	FALSE		single-entry
B	fit	Adjective	B1-021	בכושר	healthy; suitable for a purpose	She exercises every day to stay fit.	היא מתעמלת מדי יום כדי לשמור על כושר.	healthy; suitable for a purpose	בכושר	FALSE		single-entry
B	generation	Noun	B2-043	דור	people born at about the same time	The younger generation uses technology differently.	הדור הצעיר משתמש בטכנולוגיה באופן שונה.	people born at about the same time	דור	FALSE		single-entry
B	genuine	Adjective	B1-038	אוֹרְגִּינָלִי; מְקוֹרִי; אוֹתֶנְטִי	real, honest or truly felt	Her concern for the children was genuine.	דאגתה לילדים הייתה כנה.	real, honest or truly felt	אוֹרְגִּינָלִי; מְקוֹרִי; אוֹתֶנְטִי	FALSE		single-entry
B	get rid of	Phrase	B2-024	להיפטר מ־	remove something that is not wanted	We need to get rid of these broken chairs.	אנחנו צריכים להיפטר מהכיסאות השבורים האלה.	remove something that is not wanted	להיפטר מ־	FALSE		single-entry
B	get worse	Phrase	B3-056	להחמיר	become more difficult, painful or serious	Her cold began to get worse at night.	ההצטננות שלה החלה להחמיר בלילה.	become more difficult, painful or serious	להחמיר	FALSE		single-entry
B	get wrong	Phrase	B2-039	לטעות ב־; להבין לא נכון	understand or answer something incorrectly	I got the last question wrong.	עניתי לא נכון על השאלה האחרונה.	understand or answer something incorrectly	לטעות ב־; להבין לא נכון	FALSE		single-entry
B	give away	Phrase	B2-012	לתת בחינם; לגלות סוד	give something for free or reveal a secret	They gave away warm clothes to families in need.	הם תרמו בגדים חמים למשפחות נזקקות.	give something for free or reveal a secret	לתת בחינם; לגלות סוד	FALSE		single-entry
B	go out	Phrase	B2-030	לצאת; לכבות	leave home for an activity or stop giving light	We went out for dinner on Friday.	יצאנו לארוחת ערב ביום שישי.	leave home for an activity or stop giving light	לצאת; לכבות	FALSE		single-entry
B	hidden	Adjective	B3-048	חָבוּי; סָמוּי	kept where it cannot easily be seen	We found a hidden key under the stone.	מצאנו מפתח חבוי מתחת לאבן.	kept where it cannot easily be seen	חָבוּי; סָמוּי	FALSE		single-entry
B	highlight	Verb	B2-059	הִדְגִּישׁ; הִבְלִיט	make something seem especially important	The report highlights the need for safer roads.	הדוח מדגיש את הצורך בכבישים בטוחים יותר.	make something seem especially important	הִדְגִּישׁ; הִבְלִיט	FALSE		single-entry
B	historian	Noun	B3-044	הִיסְטוֹרְיוֹן; אדם העוסק בהיסטוריה	a person who studies and writes about the past	The historian examined old letters.	ההיסטוריון בחן מכתבים ישנים.	a person who studies and writes about the past	הִיסְטוֹרְיוֹן; אדם העוסק בהיסטוריה	FALSE		single-entry
B	historic	Adjective	B3-050	הִיסְטוֹרִי; שקשור בהיסטוריה	important in the story of the past	The leaders signed a historic agreement.	המנהיגים חתמו על הסכם היסטורי.	important in the story of the past	הִיסְטוֹרִי; שקשור בהיסטוריה	FALSE		single-entry
B	identical	Adjective	B3-073	זֵהֶה; חוֹפֵף	exactly the same	The two bags look identical.	שני התיקים נראים זהים.	exactly the same	זֵהֶה; חוֹפֵף	FALSE		single-entry
B	immigration	Noun	B1-034	הֲגִירָה נִכְנֶסֶת; אִימִיגְרַצְיָה	the movement of people into another country to live	The museum tells the story of immigration to Israel.	המוזיאון מספר את סיפור העלייה לישראל.	the movement of people into another country to live	הֲגִירָה נִכְנֶסֶת; אִימִיגְרַצְיָה	FALSE		single-entry
B	import	Noun	B1-051	יְבוּא; אִימְפּוֹרְט; חֲשִׁיבוּת	goods brought into a country for sale	Oil is a major import for many countries.	נפט הוא מוצר יבוא מרכזי במדינות רבות.	goods brought into a country for sale	יְבוּא; אִימְפּוֹרְט; חֲשִׁיבוּת	TRUE	B1-002	record-specific
B	import	Verb	B1-002	יִבֵּא	bring goods into a country for sale	The shop imports coffee from Brazil.	החנות מייבאת קפה מברזיל.	bring goods into a country for sale	יִבֵּא	TRUE	B1-051	record-specific
B	impress	Verb	B3-053	הִרְשִׁים; הִטְבִּיעַ; טָבַע	make someone admire or notice something	Her clear presentation impressed the judges.	המצגת הברורה שלה הרשימה את השופטים.	make someone admire or notice something	הִרְשִׁים; הִטְבִּיעַ; טָבַע	FALSE		single-entry
B	impression	Noun	B1-025	רֹשֶׁם; הִתְרַשְּׁמוּת; הַטְבָּעָה	an idea or feeling formed about someone or something	The school made a good impression on the visitors.	בית הספר עשה רושם טוב על המבקרים.	an idea or feeling formed about someone or something	רֹשֶׁם; הִתְרַשְּׁמוּת; הַטְבָּעָה	FALSE		single-entry
B	incredible	Adjective	B2-071	מדהים; לא ייאמן	very hard to believe; extremely good	The view from the mountain was incredible.	הנוף מההר היה מדהים.	very hard to believe; extremely good	מדהים; לא ייאמן	FALSE		single-entry
B	indoors	Adjective	B3-045	מקורה; שבתוך מבנה	happening or used inside a building	The activity was indoors because it was raining.	הפעילות התקיימה בתוך מבנה כי ירד גשם.	happening or used inside a building	מקורה; שבתוך מבנה	TRUE	B1-013	record-specific
B	indoors	Adverb	B1-013	בתוך מבנה; פנימה	inside a building	It was raining, so we stayed indoors.	ירד גשם, ולכן נשארנו בתוך הבית.	inside a building	בתוך מבנה; פנימה	TRUE	B3-045	record-specific
B	infection	Noun	B1-054	זִהוּם; אִינְפֶקְצְיָה	an illness caused by harmful organisms	The doctor gave her medicine for the infection.	הרופא נתן לה תרופה נגד הזיהום.	an illness caused by harmful organisms	זִהוּם; אִינְפֶקְצְיָה	FALSE		single-entry
B	input	Noun	B2-020	קלט; מידע או רעיונות	ideas, information or effort put into something	The teacher asked students for input on the plan.	המורה ביקש מהתלמידים משוב על התוכנית.	ideas, information or effort put into something	קלט; מידע או רעיונות	FALSE		single-entry
B	inside	Adverb	B2-044	בפנים; פנימה	in or into an inner part	It began to rain, so we went inside.	התחיל לרדת גשם, ולכן נכנסנו פנימה.	in or into an inner part	בפנים; פנימה	FALSE		single-entry
B	interaction	Noun	B1-040	אִינְטֶרְאַקְצְיָה; גּוֹמְלִין	communication or activity between people or things	Group work encourages interaction between students.	עבודה בקבוצות מעודדת קשר בין התלמידים.	communication or activity between people or things	אִינְטֶרְאַקְצְיָה; גּוֹמְלִין	FALSE		single-entry
B	interpret	Verb	B3-024	פֵּרֵשׁ	explain the meaning of something; translate speech	Different readers may interpret the poem differently.	קוראים שונים עשויים לפרש את השיר באופן שונה.	explain the meaning of something; translate speech	פֵּרֵשׁ	FALSE		single-entry
B	interrupt	Verb	B1-015	להפריע; לקטוע	stop someone briefly while they are speaking or working	Please do not interrupt while she is answering.	נא לא להפריע בזמן שהיא עונה.	stop someone briefly while they are speaking or working	להפריע; לקטוע	FALSE		single-entry
B	involvement	Noun	B1-001	מְעֹרָבוּת	the act of taking part in something	Parent involvement can help a school succeed.	מעורבות הורים יכולה לסייע להצלחת בית הספר.	the act of taking part in something	מְעֹרָבוּת	FALSE		single-entry
B	issue	Noun	B1-036	נוֹשֵׂא; סוּגְיָה; גִּלָּיוֹן	an important subject or problem	The class discussed the issue of online safety.	הכיתה דנה בנושא הבטיחות ברשת.	an important subject or problem	נוֹשֵׂא; סוּגְיָה; גִּלָּיוֹן	FALSE		single-entry
B	it looks like/as if/as though	Phrase	B1-066	נראה ש־; כאילו	used to say how a situation seems	It looks as if the rain will stop soon.	נראה שהגשם ייפסק בקרוב.	used to say how a situation seems	נראה ש־; כאילו	FALSE		single-entry
B	jam	Noun	B1-028	פקק; ריבה	a situation where movement is blocked; sweet fruit spread	A traffic jam delayed the bus.	פקק תנועה עיכב את האוטובוס.	a situation where movement is blocked; sweet fruit spread	פקק; ריבה	FALSE		single-entry
B	journalist	Noun	B1-004	עִתּוֹנַאי; ז'וּרְנָלִיסְט	a person who reports news	The journalist interviewed the mayor.	העיתונאי ראיין את ראש העיר.	a person who reports news	עִתּוֹנַאי; ז'וּרְנָלִיסְט	FALSE		single-entry
B	judgment	Noun	B1-062	שיקול דעת; שיפוט; החלטה	an opinion or decision after careful thought	Good judgment is important in an emergency.	שיקול דעת טוב חשוב בשעת חירום.	an opinion or decision after careful thought	שיקול דעת; שיפוט; החלטה	FALSE		single-entry
B	just as ... as	Phrase	B2-004	בדיוק באותה מידה כמו	equal to someone or something in a particular way	The second exercise is just as difficult as the first.	התרגיל השני קשה בדיוק כמו הראשון.	equal to someone or something in a particular way	בדיוק באותה מידה כמו	FALSE		single-entry
B	justice	Noun	B1-076	צדק; משפט הוגן	fair treatment according to law or moral rules	The family continued to fight for justice.	המשפחה המשיכה להיאבק למען הצדק.	fair treatment according to law or moral rules	צדק; משפט הוגן	FALSE		single-entry
B	keen	Adjective	B3-059	נִלְהָב; חַד; מְמֻלָּח	very interested, eager or sharp	She is keen to improve her English.	היא להוטה לשפר את האנגלית שלה.	very interested, eager or sharp	נִלְהָב; חַד; מְמֻלָּח	FALSE		single-entry
B	keep	Verb	B3-055	הֶחְזִיק; שָׁמַר; פִּרְנֵס	continue to have, stay in a condition or follow a rule	Please keep your ticket until the end.	נא לשמור את הכרטיס עד הסוף.	continue to have, stay in a condition or follow a rule	הֶחְזִיק; שָׁמַר; פִּרְנֵס	FALSE		single-entry
B	kit	Noun	B2-058	ערכה; ציוד	a set of tools or equipment for a purpose	Every car should have a first-aid kit.	בכל מכונית צריכה להיות ערכת עזרה ראשונה.	a set of tools or equipment for a purpose	ערכה; ציוד	FALSE		single-entry
B	learn	Verb	B2-056	לָמַד	gain knowledge or skill	Children learn new words through reading.	ילדים לומדים מילים חדשות באמצעות קריאה.	gain knowledge or skill	לָמַד	FALSE		single-entry
B	lecture	Noun	B3-019	הַרְצָאָה	a formal educational talk	We attended a lecture about space.	נכחנו בהרצאה על החלל.	a formal educational talk	הַרְצָאָה	TRUE	B1-041	record-specific
B	lecture	Verb	B1-041	הִרְצָה	give a formal educational talk	She lectures on modern history at the university.	היא מרצה על היסטוריה מודרנית באוניברסיטה.	give a formal educational talk	הִרְצָה	TRUE	B3-019	record-specific
B	light	Verb	B3-023	הִצִּית; הִדְלִיק; הֵאִיר	make something begin to burn or become bright	Please light the candle carefully.	נא להדליק את הנר בזהירות.	make something begin to burn or become bright	הִצִּית; הִדְלִיק; הֵאִיר	TRUE	C1-049	record-specific
B	living	Noun	B2-074	מִחְיָה; קִיּוּם; פַּרְנָסָה	money earned for basic needs; a way of life	She earns a living as a designer.	היא מתפרנסת מעבודה כמעצבת.	money earned for basic needs; a way of life	מִחְיָה; קִיּוּם; פַּרְנָסָה	FALSE		single-entry
B	logical	Adjective	B3-032	לוֹגִי; שקשור בלוגיקה	based on clear and sensible thinking	Your explanation is simple and logical.	ההסבר שלכם פשוט והגיוני.	based on clear and sensible thinking	לוֹגִי; שקשור בלוגיקה	FALSE		single-entry
B	look forward to	Phrase	B2-023	לצפות בשמחה ל־	feel pleased and excited about something in the future	I look forward to seeing you next week.	אני מצפה לראותכם בשבוע הבא.	feel pleased and excited about something in the future	לצפות בשמחה ל־	FALSE		single-entry
B	lower	Verb	B3-005	להוריד; להנמיך	move down or make less	The store lowered its prices.	החנות הורידה את מחיריה.	move down or make less	להוריד; להנמיך	FALSE		single-entry
B	make sense	Phrase	B2-055	להיות הגיוני; להיות מובן	be easy to understand or reasonable	Your explanation makes sense.	ההסבר שלכם הגיוני.	be easy to understand or reasonable	להיות הגיוני; להיות מובן	FALSE		single-entry
B	make up	Phrase	B2-034	להמציא; להרכיב	invent something or form part of a whole	The children made up a funny story.	הילדים המציאו סיפור מצחיק.	invent something or form part of a whole	להמציא; להרכיב	FALSE		single-entry
B	make up your mind	Phrase	B2-067	להחליט	make a decision after thinking	Please make up your mind before Friday.	נא להחליט לפני יום שישי.	make a decision after thinking	להחליט	FALSE		single-entry
B	mend	Verb	B3-060	תִּקֵּן; הֶחְלִים; הִבְרִיא	repair something that is broken or damaged	Can you mend this torn shirt?	האם תוכלו לתקן את החולצה הקרועה הזאת?	repair something that is broken or damaged	תִּקֵּן; הֶחְלִים; הִבְרִיא	FALSE		single-entry
B	mixture	Noun	B3-061	תַּעֲרֹבֶת	a combination of different things	The soup is a mixture of vegetables and spices.	המרק הוא תערובת של ירקות ותבלינים.	a combination of different things	תַּעֲרֹבֶת	FALSE		single-entry
B	monthly	Adjective	B2-078	חָדְשִׁי	happening or produced once a month	We have a monthly team meeting.	יש לנו פגישת צוות חודשית.	happening or produced once a month	חָדְשִׁי	FALSE		single-entry
B	mystery	Noun	B1-073	מִסְתּוֹרִין; תַּעֲלוּמָה	something difficult or impossible to explain	The cause of the noise remains a mystery.	הגורם לרעש נותר בגדר תעלומה.	something difficult or impossible to explain	מִסְתּוֹרִין; תַּעֲלוּמָה	FALSE		single-entry
